Query,Site Clicks,% Δ,Site Impressions,% Δ,Site CTR,% Δ,Average Position,% Δ
ปักหมุดรักฉุกเฉินพากย์ไทย,549,0.22271714922049,13710,0.12793089263677498,0.0400437636761488,0.08403551778082112,1.8482129832239242,-0.17383683395532515
shopp,543,-0.13946117274167988,1916,0.22038216560509555,0.28340292275574114,-0.29486119060774396,1.1670146137787056,-0.002605909835292471
slip to sleep,541,,785,,0.689171974522293,,1.8254777070063695,
ตู้เสื้อผ้า,530,-0.13114754098360656,10472,0.05426356589147287,0.05061115355233002,-0.17586788813886214,2.18840718105424,0.571646918473846
เสื้อovp,522,-0.5969111969111969,8945,-0.4732037691401649,0.05835662381218558,-0.23482975109582152,1.0007825600894353,0.0001935179704892248
วอลเปเปอร์ติดผนัง,511,0.009881422924901186,7204,0.18897507839577488,0.07093281510272072,-0.1506286033450893,1.5523320377568017,-0.16036602242738243
แวมไพร์ทไวไลท์ 1,509,-0.03962264150943396,4410,-0.03900631945957725,0.11541950113378685,-0.0006413382963248251,1.1591836734693877,0.025345774393026224
โซฟา,508,0.02834008097165992,7957,0.11131284916201117,0.0638431569687068,-0.07466193543331849,1.0375769762473295,-0.006147003353728506
วิธีง้อแฟน,502,0.012096774193548387,1855,-0.008021390374331552,0.2706199460916442,0.020280845143900418,1.015633423180593,-0.04320680032861012
shop,499,0.1937799043062201,4334,0.40032310177705976,0.11513613290263036,-0.14749681499128947,2.488232579603138,-0.061187390726354776
face shield,490,0.7013888888888888,9714,0.5423944109241029,0.0504426600782376,0.10308289296090413,1.1591517397570517,-0.13574788007696087
คําคม,488,-0.1643835616438356,50537,-0.017038492210141403,0.009656291430041356,-0.14989912449877363,7.397471159744346,0.026197353969019444
พัดลม,486,0.1543942992874109,16868,0.3674908796108634,0.02881195162437752,-0.1558303484876563,1.0813374436803416,-0.016929734095149394
เฟสชิว,484,0.936,10174,0.7145264577013819,0.04757224297228229,0.12917475919009253,1.120011794770985,-0.3680564809193663
หนัง x,457,-0.029723991507430998,5553,-0.045220082530949106,0.08229785701422654,0.01623001357694597,1.5847289753286513,-0.17537946492695392
เครื่องชงกาแฟ,449,0.32840236686390534,6174,0.2390126429861529,0.07272432782636865,0.07214593360590228,1.0187884677680596,-0.007696846190726868
เครื่องซีลสูญญากาศ,448,0.5448275862068965,3606,0.6655889145496536,0.12423738214087632,-0.07250368160345783,1.057404326123128,-0.007250491736091893
เก้าอี้เกมมิ่ง,444,0.14138817480719795,5170,0.2721456692913386,0.08588007736943908,-0.10278500146683697,1.844487427466151,0.22263854268837663
surf skate,442,-0.017777777777777778,15939,-0.026863666890530557,0.027730723382897296,0.009336707307721763,3.6103896103896105,0.1306369054447522
เติมrov,434,2.875,9988,-0.0502092050209205,0.0434521425710853,3.079845814977974,4.224669603524229,-0.1711141171189075
พระเอกเกาหลี,432,-0.03355704697986577,2412,0.072,0.1791044776119403,-0.09846739457077032,1.099917081260365,0.08926647571999155
เมล็ดกัญชา,430,0.07231920199501247,3110,0.15785554728220402,0.1382636655948553,-0.07387479853421106,3.07491961414791,0.14346311554773428
แผงโซล่าเซลล์,419,0.0023923444976076554,7317,0.3031166518254675,0.05726390597239306,-0.23077312910290187,1.8372283722837228,0.28789479530250983
ชอบปี้,418,0.09138381201044386,1305,0.42311886586695746,0.3203065134099617,-0.23310424857197162,1,0
กระชายขาวสกัด,417,-0.6110074626865671,3285,-0.28228097006772995,0.12694063926940638,-0.45801557282082744,4.666057838660578,0.8943184963233517
เครื่องทําน้ําแข็ง,416,0.5407407407407407,3297,0.47121820615796517,0.1261753108886867,0.04725508037609955,1.0424628450106157,-0.037825685474139295
เครื่องตัดหญ้า,414,0.7617021276595745,8338,0.553568101360164,0.04965219477092828,0.13397161419392378,2.055049172463421,-0.08952873463668644
ชั้นวางของ,408,0.0938337801608579,12776,0.2035798398492699,0.031934877896055106,-0.09118303252915573,1.0068096430807765,-0.01590383413421346
หนังx,408,0.05154639175257732,6742,-0.08134623245673797,0.060516167309403734,0.1446601852673041,1.882972411747256,-0.2217202900533278
lg puricare mask,407,-0.0332541567695962,1805,0.4079563182527301,0.22548476454293628,-0.31336943433718684,1.8858725761772854,0.13720067857915327
เติม rov,407,2.4786324786324787,6779,-0.1545273135445248,0.0600383537394896,3.1144232502839966,3.9218173771942766,-0.20663222580184903
คีย์บอร์ด,406,0.32247557003257327,11212,0.22081881533101044,0.03621120228326793,0.08326932172486196,1.1143417766678558,-0.21589680685583912
ซิมเทพ,397,0.18862275449101795,3139,0.14353369763205828,0.12647339917171074,0.039429583013011964,1.021344377190188,0.0198582449570993
ห้นยำำ,394,-0.6358595194085028,3195,0.47370848708487084,0.12331768388106416,-0.7529087443122485,1.0025039123630672,-0.03745417094635532
ครึ่งทางรัก,388,-0.08274231678486997,6207,0.021224086870681145,0.06251006927662317,-0.10180567124511676,7.8148864185596905,-0.01660670271825022
เครื่องดูดฝุ่น,385,-0.032663316582914576,7612,0.07226369911255107,0.05057803468208093,-0.09785560751735549,1.094062007356805,0.0673005620758498
โน๊ตบุ๊คมือสอง,385,0.4051094890510949,3377,0.3744403744403744,0.11400651465798045,0.022313892389262686,1.9224163458691146,-0.0028758788683946692
กล้วยด่าง,384,0.5867768595041323,4100,0.47801009372746933,0.09365853658536585,0.07359000201572269,1.0136585365853659,0.004963824334454936
สเปรย์แอลกอฮอล์,384,0.8373205741626795,8246,0.7222222222222222,0.04656803298569003,0.06683130112671715,1.0046082949308757,-0.13534702208717733
กระเป๋าสะพายข้าง,380,-0.010416666666666666,11116,0.03462397617274758,0.034184958618207986,-0.04353334532805568,1.067020510975171,0.007653016605189111
rtx 3080,379,-0.10823529411764705,2075,-0.006701771182383916,0.18265060240963854,-0.10221856839121199,1.575421686746988,0.06300255284704702
โต๊ะทํางาน,378,0.058823529411764705,6309,0.2542743538767396,0.05991440798858773,-0.15582780901233534,1.1393247741321921,0.12989030242210706
สมุนไพรศรีจันทร์,377,0.7783018867924528,5143,0.8407301360057265,0.07330351934668482,-0.03391493842152175,1.41668286992028,0.3753342385536005
แหวนทองครึ่งสลึงราคา,375,0.13636363636363635,7204,-0.1199609088688004,0.05205441421432538,0.29126495381353795,2.5197112715158245,0.042472276793113335
