Query,Site Clicks,% Δ,Site Impressions,% Δ,Site CTR,% Δ,Average Position,% Δ
ตู้เสื้อผ้า,610,0.4055299539170507,9933,0.15553745928338764,0.06141145676029397,0.21634304680066116,1.3924292761502064,-0.2125446014613701
ตู้เย็น,596,0.11401869158878504,15462,0.12524561531184047,0.0385461130513517,-0.009977309460516481,1.963264778165826,0.23833928468104712
หูฟังไร้สาย,593,-0.1659634317862166,10415,-0.14708050118745394,0.05693710993759001,-0.0221391709593367,1.1191550648103696,0.06949463894188627
poco x3 pro,585,0.37971698113207547,15086,-0.2346793831168831,0.03877767466525255,0.8027960448147602,3.3627866896460294,-0.5243793411329373
คําคม,584,0.6,51413,-0.03012639124693454,0.011358994806760937,0.6496994923462939,7.208624277906366,-0.22767393599173677
รีเจนซี่,579,-0.14094955489614244,7943,0.15939278937381404,0.07289437240337404,-0.2590514164161491,1.2499055772378194,-0.18733006456711584
sex toy,561,0.42025316455696204,5834,0.11399656291770098,0.09616043880699349,0.27491700767651867,7.63489886870072,-0.059400000579038145
ตั้งชื่อแมว,547,0.12551440329218108,2407,0.12792877225866917,0.22725384295803905,-0.0021405331842483527,1.9833818030743664,-0.002465998642305469
xxx,546,0.1375,35891,-0.013549912049252419,0.015212727424702572,0.15312473879245495,7.550500125379622,-0.25238829651713884
ฟิลเตอร์ไอจี,541,3.2598425196850394,14667,0.058683412732784754,0.0368855253289698,3.0237170701381695,5.299243199018204,-0.38579160472188173
รีเจนซี่ราคา,533,0.007561436672967864,3744,0.3054393305439331,0.1423611111111111,-0.22818210459987398,1.0133547008547008,-0.004350365861157306
ชื่อแมว,532,0.40369393139841686,1908,0.20912547528517111,0.27882599580712786,0.1609166791125271,1.9722222222222223,-0.011696834974065819
แวมไพร์ทไวไลท์ 1,530,1.145748987854251,4589,0.363339275103981,0.11549357158422315,0.5738921536538265,1.1305295271300937,-0.6879059797982534
shoppy,528,-0.30799475753604194,1048,-0.28561690524880706,0.5038167938931297,-0.03132472261963122,1.982824427480916,0.33738088970781777
หนังใหม่2021,521,2.2160493827160495,32722,1.4193715341959334,0.015922009657111425,0.32929123834834584,9.36354746042418,-0.08839507491803297
ไหว้เจ้าที่บ้าน,520,9,4486,3.9027322404371585,0.115916183682568,1.0396790013374944,3.4712438698172092,-0.41387928752855757
แอลกอฮอล์,519,2.392156862745098,20605,0.5615763546798029,0.025188061150206262,1.1722644893919714,1.665469546226644,-0.5608251431391401
หน้ากากอนามัยทางการแพทย์,516,0.8105263157894737,3332,0.5724398301085417,0.15486194477791115,0.15141214380489038,4.502400960384154,-0.1359728640595886
moon lovers,513,20.375,18360,14.454545454545455,0.027941176470588237,0.3830882352941176,11.465087145969498,-0.09624288173234928
ไอโฟน7,513,1.4902912621359223,14305,0.009812226457715657,0.035861586857742045,1.4660933952756012,3.882628451590353,-0.38238937010578916
ไหว้แม่ย่านางรถมีอะไรบ้าง,506,17.74074074074074,9317,29.447712418300654,0.05430932703659976,-0.3844942935852027,6.231190297306,0.030672557284127603
วอลเปเปอร์ติดผนัง,506,0.7630662020905923,6059,0.09348493051795705,0.08351213071463938,0.612336990556853,1.84881993728338,-0.34766229798222054
การ์ดจอ,497,0.28756476683937826,6058,0.11709385948736861,0.08204027731924728,0.15260213446186,1.841366787718719,-0.2871407702885057
วิธีง้อแฟน,496,0.11210762331838565,1870,0.08847497089639116,0.26524064171122996,0.02171170955132986,1.0614973262032086,0.03323082516550276
โซฟา,494,0.11764705882352941,7160,0.13416759068588627,0.06899441340782123,-0.014566217548471889,1.0439944134078212,-0.00741916689102786
ไหว้แม่ย่านางรถใช้ผลไม้อะไรบ้าง,491,97.2,4211,50.98765432098765,0.11659938256946094,0.8889099976252673,2.538826881975778,-0.5409710324999151
ps5 ราคา,489,0.362116991643454,3808,0.19597989949748743,0.12841386554621848,0.13891294679431654,2.0249474789915967,-0.02606755693213837
ชื่อเท่ๆ,485,0.5062111801242236,13305,0.1112503132047106,0.036452461480646375,0.3554202525086307,5.8767380683953405,-0.08577796251627497
เดือนรอมฎอน 2564,476,1.6444444444444444,5972,3.10446735395189,0.07970529135967849,-0.35571556150926553,4.1942397856664435,0.36371371802115643
หนัง x,471,0.7065217391304348,5816,-0.003597738564330992,0.08098349381017882,0.7126835267029483,1.921767537826685,-0.4643607526361207
the handmaiden,471,2.6796875,7938,3.577854671280277,0.059334845049130766,-0.19619827097505668,7.5,0.20853080568720375
ชื่อแมวน่ารักๆ,467,0.23544973544973544,2929,0.1239447429009977,0.1594400819392284,0.09920860723182323,2.2284055991806078,0.4047472161259467
ไหว้รถใช้อะไรบ้าง,466,65.57142857142857,5384,32.440993788819874,0.08655274888558692,0.9907132243684993,5.0395616641901935,-0.2650639239722634
ว่านหางจระเข้,465,0.6726618705035972,6076,0.024620573355817875,0.07653061224489796,0.6324695345764205,3.108788676761027,-0.18572805418759325
โกนหนวดไปทํางานแล้วกลับมาพบเธอ,460,-0.2396694214876033,24031,-0.4001996755272682,0.019141941658690858,0.26763949182718877,5.5882401897549,-0.1960182303844798
เบอร์มงคล,457,0.34411764705882353,40254,-0.07834966572030405,0.011352909027674269,0.45838133733147457,5.8763104287772645,-0.32868866859889617
บทสวดมนต์ก่อนนอน,457,0.8353413654618473,18280,-0.03494879104635202,0.025,0.9018072289156628,7.313129102844639,-0.12509605470730412
surf skate,450,0.03211009174311927,16379,0.007566437007874015,0.027474204774406253,0.02435934131364228,3.1932352402466573,-0.2882711483608514
กล้องวงจรปิด,450,-0.36619718309859156,14045,-0.11649996854752469,0.032039871840512636,-0.2826227568329163,2.6227839088643643,0.06985517292458181
ปักหมุดรักฉุกเฉินพากย์ไทย,449,15.035714285714286,12155,10.233826247689464,0.036939531057178114,0.4274490215666685,2.23710407239819,-0.3293026859698416
พระเอกเกาหลี,447,0.5467128027681661,2250,0.3595166163141994,0.19866666666666666,0.13769319492502874,1.0097777777777779,0.009777777777777885
เยลลี่ลูกตา,446,-0.03463203463203463,16288,0.018190910795774208,0.027382121807465618,-0.05187921525102273,2.175527996070727,-0.09187899295088015
ผลไม้มงคล,444,1.3125,2566,0.8716265499635303,0.1730319563522993,0.23555631332813715,2.3663289166017147,-0.1500558174846867
nintendo switch มือสอง,440,0.5224913494809689,1455,0.1474763406940063,0.3024054982817869,0.3268172035339302,1.0206185567010309,-0.138385932159183
shopping,439,0.19618528610354224,2490,-0.11827195467422097,0.17630522088353415,0.35663744897847527,2.1690763052208837,0.009970566519995984
ละศีลอด 2564,433,,1249,,0.3466773418734988,,1.143314651721377,
สระน้ําเป่าลม,429,1.0235849056603774,8851,1.326149802890933,0.04846909953677551,-0.13007111444608108,2.001694723760027,-0.17454769438529288
rtx 3080,425,0.7346938775510204,2089,0.052923387096774195,0.20344662517951173,0.647502466759801,1.4820488271900432,-0.7462998383826535
ครึ่งทางรัก,423,0.7773109243697479,6078,0.2967783230211222,0.06959526159921027,0.37055878619957366,7.946857518920698,-0.0025461627341515996
ผลไม้มงคล 9 อย่าง,422,0.6045627376425855,747,0.509090909090909,0.5649263721552878,0.06326446470291823,1.037483266398929,-0.03102977949533984
ทรงผมสั้น,421,0.6907630522088354,22294,-0.04206591329007863,0.01888400466493227,0.7650098014737697,2.736207051224545,-0.2802515207329886
ชื่อในเกมเท่ๆ,421,0.6254826254826255,3051,0.35179441736818784,0.13798754506719108,0.20246289272837933,3.377908882333661,-0.15552277941658477
พัดลม,421,0.36245954692556637,12335,-0.018226679401464503,0.0341305229023105,0.3877536884939455,1.0999594649371707,-0.10167117021121859
lg puricare mask,421,1.944055944055944,1282,0.9783950617283951,0.328393135725429,0.4881031604900558,1.6583463338533542,-0.08309861404695096
lolita,419,0.63671875,7053,0.43704156479217604,0.05940734439245711,0.1389501807741387,8.393307812278463,-0.0893256384953532
แผงโซล่าเซลล์,418,0.2822085889570552,5615,-0.08296586640535684,0.07444345503116652,0.3982125004780141,1.4265360641139804,-0.2878949681583319
shop,418,0.3227848101265823,3095,-0.17466666666666666,0.13505654281098545,0.6027279605734032,2.6504038772213248,-0.010649558074858805
ใส่แหวนนิ้วไหนดี เรียกเงิน 2564,414,-0.32901134521880065,1501,-0.3130434782608696,0.27581612258494337,-0.023244363293190906,1.6902065289806796,-0.013067539865637311
sextoy,413,0.8858447488584474,4599,0.7992957746478874,0.0898021308980213,0.04810158253581027,8.973689932594041,-0.010237703128058585
เฉาก๊วยชากังราว,411,-0.18127490039840638,6591,-0.18286635259112324,0.06235776058261265,0.001947603305485285,2.5700197238658777,0.033646426960965856
หลวงพ่อพัฒน์,401,0.2225609756097561,18399,-0.06840506329113924,0.02179466275341051,0.3123310651824927,2.4073047448230884,-0.45731915637192105
เมล็ดกัญชา,401,0.6991525423728814,2686,-0.0055534987041836355,0.14929262844378258,0.708641480621427,2.6891288160833957,-0.514871965519553
เครื่องดูดฝุ่น,398,-0.024509803921568627,7099,0.06655649038461539,0.056064234399211155,-0.08538347019326112,1.0250739540780391,-0.025718657954672573
ผลไม้ไหว้เจ้าที่,394,0.8851674641148325,1681,1.0804455445544554,0.23438429506246283,-0.0938635865527753,1.9250446162998216,-0.05329516130842621
ก๋วยเตี๋ยวเรือแม่ไพจิตร,393,,1239,,0.3171912832929782,,3.9152542372881354,
แผ่เมตตาให้ตนเอง,391,0.3436426116838488,1642,0.2118081180811808,0.23812423873325214,0.1087915583627376,2.1248477466504263,0.06794091124307397
เก้าอี้เกมมิ่ง,389,0.36013986013986016,4064,0.14705052215636466,0.09571850393700787,0.18577153653433184,1.5086122047244095,-0.313068623398203
หนังx,388,0.7399103139013453,7339,0.030035087719298244,0.0528682381795885,0.6891757714330407,2.4194031884452922,-0.4218845087640785
